Id,OrgId,Code,Name,Contact,Rating,CreatedAt,UpdatedAt
1,1,SUP-001,"深圳华强电子","联系人5",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
2,1,SUP-002,"上海精密机械","联系人2",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
3,1,SUP-003,"广州化工原料","联系人3",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
4,1,SUP-004,"北京半导体","联系人3",4,"2026-07-16 13:58:28","2026-07-16 13:58:28"
5,1,SUP-005,"成都航空材料","联系人2",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
6,1,SUP-006,"武汉光电科技","联系人8",4,"2026-07-16 13:58:28","2026-07-16 13:58:28"
7,1,SUP-007,"南京轴承集团","联系人1",4,"2026-07-16 13:58:28","2026-07-16 13:58:28"
8,1,SUP-008,"杭州包装材料","联系人4",5,"2026-07-16 13:58:28","2026-07-16 13:58:28"
9,1,SUP-009,"天津线缆工业","联系人1",5,"2026-07-16 13:58:28","2026-07-16 13:58:28"
10,1,SUP-010,"苏州自动化","联系人2",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
11,1,SUP-011,"东莞模具制造","联系人1",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
12,1,SUP-012,"青岛橡胶制品","联系人7",5,"2026-07-16 13:58:28","2026-07-16 13:58:28"
13,1,SUP-013,"西安电子元件","联系人8",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
14,1,SUP-014,"重庆精密铸造","联系人1",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
15,1,SUP-015,"厦门复合材料","联系人4",4,"2026-07-16 13:58:28","2026-07-16 13:58:28"
16,1,SUP-016,"郑州五金加工","联系人7",4,"2026-07-16 13:58:28","2026-07-16 13:58:28"
17,1,SUP-017,"长沙传感器","联系人2",5,"2026-07-16 13:58:28","2026-07-16 13:58:28"
18,1,SUP-018,"大连注塑成型","联系人4",5,"2026-07-16 13:58:28","2026-07-16 13:58:28"
19,1,SUP-019,"无锡冲压件","联系人7",3,"2026-07-16 13:58:28","2026-07-16 13:58:28"
20,1,SUP-020,"佛山表面处理","联系人5",5,"2026-07-16 13:58:28","2026-07-16 13:58:28"
