Id,OrgId,BomVersionId,TotalCost,LaborHours,Notes,CreatedAt,UpdatedAt
1,1,30,278568.48,151.7,"成本估算 #1","2026-07-16 13:58:28","2026-07-16 13:58:28"
2,1,6,218778.44,59.8,"成本估算 #2","2026-07-16 13:58:28","2026-07-16 13:58:28"
3,1,28,350243.42,138.6,"成本估算 #3","2026-07-16 13:58:28","2026-07-16 13:58:28"
4,1,11,287103.2,166.6,"成本估算 #4","2026-07-16 13:58:28","2026-07-16 13:58:28"
5,1,13,433854.53,208.9,"成本估算 #5","2026-07-16 13:58:28","2026-07-16 13:58:28"
6,1,22,438040.15,190.7,"成本估算 #6","2026-07-16 13:58:28","2026-07-16 13:58:28"
7,1,17,355714.56,35.3,"成本估算 #7","2026-07-16 13:58:28","2026-07-16 13:58:28"
8,1,12,162883.64,149.8,"成本估算 #8","2026-07-16 13:58:28","2026-07-16 13:58:28"
9,1,9,256649.28,194.7,"成本估算 #9","2026-07-16 13:58:28","2026-07-16 13:58:28"
10,1,22,344843.54,57.8,"成本估算 #10","2026-07-16 13:58:28","2026-07-16 13:58:28"
11,1,25,499205.7,87.2,"成本估算 #11","2026-07-16 13:58:28","2026-07-16 13:58:28"
12,1,29,473419.23,77.8,"成本估算 #12","2026-07-16 13:58:28","2026-07-16 13:58:28"
13,1,10,50851.59,97.7,"成本估算 #13","2026-07-16 13:58:28","2026-07-16 13:58:28"
14,1,8,411012.7,181.5,"成本估算 #14","2026-07-16 13:58:28","2026-07-16 13:58:28"
15,1,5,246353.81,72.2,"成本估算 #15","2026-07-16 13:58:28","2026-07-16 13:58:28"
