Id,OrgId,MaterialId,OrderQty,DueDate,DataVersion,CreatedAt
1,1,359,309.0,2026-08-03,3,"2026-07-16 13:58:28"
2,1,321,3964.0,2026-08-14,2,"2026-07-16 13:58:28"
3,1,369,3815.0,2026-09-01,1,"2026-07-16 13:58:28"
4,1,458,542.0,2026-08-13,1,"2026-07-16 13:58:28"
5,1,349,4446.0,2026-09-01,2,"2026-07-16 13:58:28"
6,1,208,1423.0,2026-09-19,2,"2026-07-16 13:58:28"
7,1,14,962.0,2026-09-01,3,"2026-07-16 13:58:28"
8,1,145,820.0,2026-08-03,2,"2026-07-16 13:58:28"
9,1,72,1683.0,2026-08-19,1,"2026-07-16 13:58:28"
10,1,392,856.0,2026-10-11,3,"2026-07-16 13:58:28"
11,1,253,1774.0,2026-10-09,3,"2026-07-16 13:58:28"
12,1,409,736.0,2026-09-15,2,"2026-07-16 13:58:28"
13,1,142,4492.0,2026-08-25,1,"2026-07-16 13:58:28"
14,1,164,2895.0,2026-07-25,2,"2026-07-16 13:58:28"
15,1,333,3036.0,2026-10-03,3,"2026-07-16 13:58:28"
16,1,190,1938.0,2026-09-11,2,"2026-07-16 13:58:28"
17,1,166,2380.0,2026-09-14,1,"2026-07-16 13:58:28"
18,1,473,3757.0,2026-08-23,1,"2026-07-16 13:58:28"
19,1,398,747.0,2026-10-05,1,"2026-07-16 13:58:28"
20,1,140,969.0,2026-08-30,3,"2026-07-16 13:58:28"
21,1,438,3003.0,2026-09-11,2,"2026-07-16 13:58:28"
22,1,133,1618.0,2026-09-23,1,"2026-07-16 13:58:28"
23,1,189,1020.0,2026-09-23,3,"2026-07-16 13:58:28"
24,1,262,4583.0,2026-08-23,1,"2026-07-16 13:58:28"
25,1,390,2376.0,2026-09-11,2,"2026-07-16 13:58:28"
26,1,44,1835.0,2026-09-06,1,"2026-07-16 13:58:28"
27,1,296,4248.0,2026-10-09,3,"2026-07-16 13:58:28"
28,1,178,3308.0,2026-09-18,1,"2026-07-16 13:58:28"
29,1,460,4073.0,2026-09-10,2,"2026-07-16 13:58:28"
30,1,120,4330.0,2026-10-13,3,"2026-07-16 13:58:28"
31,1,364,2558.0,2026-09-20,3,"2026-07-16 13:58:28"
32,1,372,716.0,2026-10-12,2,"2026-07-16 13:58:28"
33,1,272,4935.0,2026-08-16,1,"2026-07-16 13:58:28"
34,1,375,1836.0,2026-08-07,3,"2026-07-16 13:58:28"
35,1,81,2702.0,2026-09-06,1,"2026-07-16 13:58:28"
36,1,45,3843.0,2026-08-15,3,"2026-07-16 13:58:28"
37,1,330,3367.0,2026-09-25,2,"2026-07-16 13:58:28"
38,1,238,3724.0,2026-08-19,2,"2026-07-16 13:58:28"
39,1,100,1120.0,2026-10-08,3,"2026-07-16 13:58:28"
40,1,379,995.0,2026-09-02,1,"2026-07-16 13:58:28"
41,1,354,3817.0,2026-08-18,3,"2026-07-16 13:58:28"
42,1,128,469.0,2026-08-26,2,"2026-07-16 13:58:28"
43,1,343,1825.0,2026-08-20,2,"2026-07-16 13:58:28"
44,1,241,237.0,2026-08-22,1,"2026-07-16 13:58:28"
45,1,450,745.0,2026-09-01,3,"2026-07-16 13:58:28"
46,1,82,4345.0,2026-08-02,1,"2026-07-16 13:58:28"
47,1,204,417.0,2026-07-26,1,"2026-07-16 13:58:28"
48,1,468,3972.0,2026-08-08,1,"2026-07-16 13:58:28"
49,1,152,2113.0,2026-09-24,2,"2026-07-16 13:58:28"
50,1,399,2184.0,2026-10-07,1,"2026-07-16 13:58:28"
51,1,69,2605.0,2026-09-27,3,"2026-07-16 13:58:28"
52,1,442,4882.0,2026-09-10,3,"2026-07-16 13:58:28"
53,1,366,575.0,2026-08-29,1,"2026-07-16 13:58:28"
54,1,167,3104.0,2026-08-26,3,"2026-07-16 13:58:28"
55,1,156,808.0,2026-09-14,2,"2026-07-16 13:58:28"
56,1,479,536.0,2026-09-11,3,"2026-07-16 13:58:28"
57,1,301,3808.0,2026-08-20,3,"2026-07-16 13:58:28"
58,1,158,3901.0,2026-08-01,2,"2026-07-16 13:58:28"
59,1,319,4215.0,2026-10-11,1,"2026-07-16 13:58:28"
60,1,275,2744.0,2026-09-16,2,"2026-07-16 13:58:28"
61,1,64,1404.0,2026-10-07,2,"2026-07-16 13:58:28"
62,1,191,2978.0,2026-09-03,2,"2026-07-16 13:58:28"
63,1,309,2395.0,2026-08-04,3,"2026-07-16 13:58:28"
64,1,80,4499.0,2026-09-24,3,"2026-07-16 13:58:28"
65,1,414,109.0,2026-08-29,2,"2026-07-16 13:58:28"
66,1,135,1914.0,2026-09-14,2,"2026-07-16 13:58:28"
67,1,313,4066.0,2026-08-18,1,"2026-07-16 13:58:28"
68,1,217,2794.0,2026-09-16,2,"2026-07-16 13:58:28"
69,1,370,1208.0,2026-09-22,3,"2026-07-16 13:58:28"
70,1,353,1755.0,2026-08-03,2,"2026-07-16 13:58:28"
71,1,226,3699.0,2026-09-07,3,"2026-07-16 13:58:28"
72,1,112,2479.0,2026-08-20,2,"2026-07-16 13:58:28"
73,1,29,2657.0,2026-09-07,1,"2026-07-16 13:58:28"
74,1,448,4251.0,2026-09-12,2,"2026-07-16 13:58:28"
75,1,401,4715.0,2026-10-02,2,"2026-07-16 13:58:28"
76,1,50,816.0,2026-09-25,2,"2026-07-16 13:58:28"
77,1,265,4104.0,2026-08-30,1,"2026-07-16 13:58:28"
78,1,108,2895.0,2026-09-21,2,"2026-07-16 13:58:28"
79,1,279,2536.0,2026-09-20,1,"2026-07-16 13:58:28"
80,1,94,4243.0,2026-08-21,3,"2026-07-16 13:58:28"
81,1,255,4396.0,2026-08-02,1,"2026-07-16 13:58:28"
82,1,54,1419.0,2026-08-05,1,"2026-07-16 13:58:28"
83,1,415,4395.0,2026-09-03,1,"2026-07-16 13:58:28"
84,1,485,834.0,2026-10-01,1,"2026-07-16 13:58:28"
85,1,76,2234.0,2026-10-10,3,"2026-07-16 13:58:28"
86,1,459,3539.0,2026-09-11,3,"2026-07-16 13:58:28"
87,1,239,115.0,2026-07-29,3,"2026-07-16 13:58:28"
88,1,87,198.0,2026-09-04,2,"2026-07-16 13:58:28"
89,1,261,1591.0,2026-08-05,3,"2026-07-16 13:58:28"
90,1,42,2297.0,2026-10-13,2,"2026-07-16 13:58:28"
91,1,183,1211.0,2026-09-17,1,"2026-07-16 13:58:28"
92,1,144,1769.0,2026-10-11,2,"2026-07-16 13:58:28"
93,1,7,2219.0,2026-09-16,3,"2026-07-16 13:58:28"
94,1,483,1865.0,2026-08-14,1,"2026-07-16 13:58:28"
95,1,110,2850.0,2026-09-16,2,"2026-07-16 13:58:28"
96,1,341,1247.0,2026-08-03,3,"2026-07-16 13:58:28"
97,1,368,3245.0,2026-09-27,1,"2026-07-16 13:58:28"
98,1,290,2298.0,2026-09-30,1,"2026-07-16 13:58:28"
99,1,74,4116.0,2026-10-02,2,"2026-07-16 13:58:28"
100,1,174,1830.0,2026-10-11,3,"2026-07-16 13:58:28"
101,1,411,1986.0,2026-08-27,2,"2026-07-16 13:58:28"
102,1,355,2424.0,2026-10-07,1,"2026-07-16 13:58:28"
103,1,3,4474.0,2026-07-30,3,"2026-07-16 13:58:28"
104,1,300,1133.0,2026-08-14,3,"2026-07-16 13:58:28"
105,1,153,657.0,2026-09-14,3,"2026-07-16 13:58:28"
106,1,242,3549.0,2026-08-30,3,"2026-07-16 13:58:28"
107,1,357,321.0,2026-07-28,1,"2026-07-16 13:58:28"
108,1,402,389.0,2026-09-27,1,"2026-07-16 13:58:28"
109,1,187,2658.0,2026-09-25,3,"2026-07-16 13:58:28"
110,1,62,4581.0,2026-09-04,1,"2026-07-16 13:58:28"
111,1,83,4412.0,2026-07-29,3,"2026-07-16 13:58:28"
112,1,105,3512.0,2026-10-11,3,"2026-07-16 13:58:28"
113,1,306,3675.0,2026-07-30,3,"2026-07-16 13:58:28"
114,1,47,2302.0,2026-08-20,1,"2026-07-16 13:58:28"
115,1,220,3904.0,2026-08-27,2,"2026-07-16 13:58:28"
116,1,288,947.0,2026-08-19,1,"2026-07-16 13:58:28"
117,1,270,2407.0,2026-08-01,2,"2026-07-16 13:58:28"
118,1,119,3809.0,2026-08-17,3,"2026-07-16 13:58:28"
119,1,192,4852.0,2026-08-19,2,"2026-07-16 13:58:28"
120,1,447,1742.0,2026-10-10,1,"2026-07-16 13:58:28"
121,1,250,1756.0,2026-10-12,2,"2026-07-16 13:58:28"
122,1,160,4402.0,2026-08-19,1,"2026-07-16 13:58:28"
